a1 number,a2 number,r
0,6,0.07837069856053439
0,16,0.05199136073791872
0,30,0.14414892141183414
0,33,0.1284283171061638
0,50,0.1697499416505659
0,79,0.09535910374474266
0,88,0.06276552665261889
1,3,0.12024818558150982
1,11,0.05155615863335857
1,18,0.10297690506395633
1,23,0.13370111819258737
1,24,0.1495636043972618
1,89,0.13716421657944738
1,95,0.05538162150049391
2,9,0.09133354432012722
2,26,0.1630240143503132
2,44,0.1420838250487818
2,46,0.1627971789599005
2,48,0.11576365782987068
2,49,0.15702758042866566
2,56,0.09805020494909858
2,64,0.15073504883500455
2,67,0.11151100550539118
2,73,0.12422793757991354
2,77,0.1414792362873268
2,94,0.10275492240354706
3,11,0.07088504816741505
3,18,0.05541858956471668
3,23,0.053278086688745604
3,30,0.1594014707492251
3,32,0.12341202284147249
3,76,0.09501376177613773
3,89,0.1291126209186375
3,95,0.06512124216248474
4,21,0.1220873966401857
4,28,0.04307040727561375
4,40,0.06286037360025022
4,53,0.0380328924074153
4,60,0.011875251691835075
4,74,0.08582462765742943
4,75,0.09850820871265904
5,22,0.1360031494631462
5,27,0.12774747872154518
5,33,0.12420623800558818
5,38,0.1532909744698841
5,42,0.09799717101892623
5,43,0.17024915880083227
5,50,0.11108359366203749
5,55,0.1160384024292644
5,58,0.16873034057664
6,16,0.08745623069898129
6,79,0.102675133540164
6,88,0.12296043638911718
7,17,0.048567310726947484
7,24,0.09281753583854999
7,37,0.1164388567341558
7,44,0.06719348083641905
7,54,0.11222286417619111
7,56,0.11459529084709681
7,64,0.06077155415118611
7,71,0.15287504552881503
7,77,0.0897085764038618
7,84,0.09377856593267271
7,89,0.14846760002344625
7,92,0.04071968391101469
8,40,0.1441179974198298
8,53,0.1615711715142034
8,75,0.09982071536670643
9,44,0.17265272770159157
9,48,0.1629248560220242
9,56,0.12248270405476937
9,64,0.1711792529296275
9,67,0.09877601706611244
10,19,0.04237498937029688
10,47,0.0446030680426341
10,63,0.11305311509550066
10,80,0.12197798091308114
10,82,0.16218019293589564
11,18,0.05465964707145541
11,23,0.08359143706183945
11,76,0.159174001617952
11,89,0.13125475920086388
11,95,0.00897763205149707
12,25,0.09188581077092534
12,34,0.08718357038321464
12,41,0.13907674618272953
12,51,0.12572276939688476
12,61,0.09815978949792831
12,68,0.10414156245109336
12,83,0.0798394158675929
12,97,0.09672472343807226
13,42,0.0988553408047303
13,55,0.08888084788747347
13,81,0.07591884587267632
13,82,0.14443153387808347
14,20,0.1687584289342473
14,25,0.14461527341360444
14,36,0.13124502822270104
14,41,0.08090059618756248
14,51,0.12266994699836131
14,52,0.10517012559318652
14,61,0.1014317421294724
14,62,0.16682955728541995
14,66,0.15626324989868612
14,68,0.16968559398900473
14,83,0.151828394984259
14,97,0.10246861579394981
14,99,0.14245940374810276
15,22,0.0910897106224833
15,27,0.06533376382223696
15,32,0.15371264385981007
15,39,0.02643709553477781
15,43,0.07181689684476336
15,58,0.13227896523172605
15,59,0.06922985232736119
15,65,0.047432566415002805
15,76,0.16332760004364705
16,30,0.1121564501731085
16,79,0.1437064349894752
